player_id,player_name,player_nickname,country_name
811874,"LOSIK MBONU, PRECIOUS DREAMS",,
2100620,"SARRALDE VALLE, MIKEL",,
21729231,"EDOBOR OSEMWENGIE, BENJAMIN OGHOSA",,
77806,"GARCIA IZAGA, ILLAN",,
2275336,"MAS JIMENEZ, ALEJANDRO",,
73105,"SARASUA IZURIETA, IOSU",,
22192135,"GODOY BASTIDAS, MAGDIEL JESUS",,
5009,"MARMOLEJO CID, NOAH",,
313988,"MENIKA RODRÍGUEZ, JULEN",,
1746,"OSKOTZ ITURRIOZ, UNAX",,
303871,"REDONDO HERNANDEZ, DANEL",,
771256,"LORENZO AGUILERA, DANIEL",,
22872717,"SAEZ INIESTA, VICTOR",,
22658520,"DUCOUT, MAXIME",,
271443,"LIRA GONZALEZ, AIMAR",,
2027805,"LOPEZ CARRACEDO, PEDRO",,
314198,"GUTIÉRREZ FUENTES, DARÍO",,
274878,"MATZAGA URIEN, MIKEL",,
21768139,"RIVAS FERNANDEZ DE PINEDO, ENEKO",,
274893,"EL HADDADI EL YACOUBI, SOUFIAN",,
267801,"MARTINEZ MONTERO, ERIK",,
1748,"ECHEVERRIA ARQUERO, JOANNES",,
21740663,"HERNANDEZ GALEANO, MATIAS",,
3006198,"CHABAN SUAREZ, YAMIL",,
274348,"EYAGA MBASOGO, ANGEL JESUS",,
274320,"GARCIA LEAL DE IBARRA, UNAI",,
268637,"RODRIGUEZ TAPIA, MARCOS",,
72910,"AQUINO PENAYO, ANDER CRISTOBAL",,
269061,"LOPEZ FERNANDEZ, DANEL",,
22845772,"ORTIZ PANTOJA, JOHAN ESTEBAN",,
73531,"TALLEDO AGUSTIN, OIHAN",,
3549,"ARBELAIZ OLMOS, ADUR",,
274702,"ERKIAGA ARRILLAGA, PAUL",,
270359,"MATEO ECHEVESTE, ENEKO",,
11881,"MERA DELGADO, JORGE GERARD",,
2474394,"TEN BROEK, XAVI",,
6833482,"OULD ABIBEKRINE BOUSSOULA, ELY SALEM",,
300352,"GABIKAGOGEASKOA MONTOYA, ALAIN",,
2904008,"SEGUI GAYA, GERARD",,
4066,"MARTIN LARRAÑAGA, OIHARTZ",,
314957,"SEXTO MANZANEDO, UNAX",,
73274,"VALVERDE SAGARDUY, SEIN",,
78086,"GONZALEZ RUIZ, MARKEL",,
5017726,"CHANCUSIG MOPOSITA, JORDAN JOEL",,
22903086,"HERNANDEZ FEMENIAS, MARCOS",,
11240,"GARTZIA AZPIROZ, GANIX",,
75058,"OLABARRI CHARTERINA, LUKEN",,
23139789,"HUANG, YULANG LIAM LU LU",,
5230,"IBABE SANTAMARIA, EGOITZ",,
22057042,"CUEZVA PICO, DIEGO",,
302238,"BIIGA NGUIMBOUS, AGUSTIN RAFAEL",,
269048,"ZUBIRIA MUÑOA, AIMAR",,
300458,"ESTENAGA GIL, ENEKO",,
273322,"ALONSO GOMEZ, ASIER",,
9972,"CASAL GUIJARRO, MARKEL",,
274891,"ROMAN MUNITXA, EKAIN",,
9225,"ARISTIZABAL CALDERON, EÑAUT",,
274664,"BASTIDA BILBAO, MARTIN",,
300792,"RUIZ DE LARREA RUIZ, ENEKO",,
300809,"SANCHEZ VICENTE, ANDER",,
269185,"CALLEJAS CABEZAS, JUSTIN ARLEY",,
10538,"MARTIN MARTIN, OIHAN",,
270915,"HERRERA ECEIZABARRENA, NESTOR",,
23197597,"LASARTE ASTIBIA, MANEX",,
73182,"GIRON NOVOA, DAREK",,
269664,"EIZAGUIRRE GONZALEZ, AITOR",,
9984,"FERNANDEZ RODRIGUEZ, ENEKO",,
276479,"CUENDE UZURIAGA, OIER",,
348253,"GALACHE DIEZ, ANDER",,
273334,"UNZALU MARTINEZ, IBAI",,
3352940,"FERNANDEZ MORCILLO, MIGUEL",,
269078,"HERRASTI BALDA, PERU",,
1790393,"TUR SURIGUEZ, MATEO",,
4352432,"OLIVES ADUART, GAEL",,
271536,"GONZALEZ CEANURI, AMETS",,
77542,"CAMARGO TORRES, IKER ALBERTO",,
14043,"LOPEZ ALVAREZ, HODEI",,
275227,"ARRIAGA BERANOAGUIRRE, IPAR",,
267889,"IBAÑEZ MINGUEZ, PEDRO",,
302327,"VELEZ DE MENDIZABAL IGLESIAS, LUKEN",,
77517,"MENDIBE CRESPO, ASIER",,
22140243,"OSAZEMWINDE OMORODION, TERRY OSARUESE",,
304757,"ZENG GARCIA, ALAIN",,
303878,"DIALLO DIALLO, ABDUL AZIZ",,
90498835,"ARBE MARTINEZ, DANEL",,
270798,"RONCERO OJEDA, JORGE",,
2390817,"NITA, DAVID CRISTIAN",,
269709,"SANZ MUGICA, ENDIKA",,
271166,"HAZAS BALEA, CRISTIAN",,
59144,"ONDO ELA, PABLO OSENE",,
4602,"ZABALETA FERNANDEZ, ANER",,
11573,"SANZ REQUENA, TELMO",,
276654,"SIERRA ROJO, MARIO",,
77848,"ALVAREZ ARNAIZ, ANDER",,
273358,"IZACELAYA PIÑEIRO, MIKEL",,
274858,"URTAZA ACEDO, HODEI",,
389645,"OLIVENZA FERNANDEZ, AITOR",,
274409,"MOISEN UNAMUNZAGA, PAUL",,
14092,"SALABERRIA ECHABURUA, BEÑAT",,
74024,"ELIZONDO FERNANDEZ, IKER",,
292203,"ALTUBE VEGA, EKHI",,
